Timestamp,Connected,Signal,Latency,Download,Upload
2026-02-01T09:14:34.659Z,true,85,14,0,5
2026-02-01T09:14:42.625Z,true,85,15,0,5
2026-02-01T09:14:50.653Z,true,85,15,0,5
2026-02-01T09:14:51.193Z,true,85,14,0,5
2026-02-01T09:14:58.615Z,true,85,30,0,5
2026-02-01T09:15:06.675Z,true,100,16,0,5
2026-02-01T09:15:14.631Z,true,80,14,0,5
2026-02-01T09:15:22.629Z,true,80,14,0,5
2026-02-01T09:15:30.625Z,true,90,14,0,5
2026-02-01T09:15:38.581Z,true,85,14,0,5
2026-02-01T09:15:46.634Z,true,85,13,0,5
2026-02-01T09:15:51.142Z,true,85,14,0,5
2026-02-01T09:15:54.585Z,true,85,18,0,5
2026-02-01T09:16:02.623Z,true,80,14,0,5
2026-02-01T09:16:10.722Z,true,80,29,0,5
2026-02-01T09:16:18.605Z,true,80,26,0,5
2026-02-01T09:16:26.613Z,true,80,27,0,5
2026-02-01T09:16:34.603Z,true,80,14,0,5
2026-02-01T09:16:42.628Z,true,100,15,0,5
2026-02-01T09:16:50.651Z,true,100,14,0,5
2026-02-01T09:16:51.140Z,true,100,19,0,5
2026-02-01T09:16:58.596Z,true,100,15,0,5
2026-02-01T09:17:06.671Z,true,90,15,0,5
2026-02-01T09:17:14.606Z,true,100,14,0,5
2026-02-01T09:17:22.644Z,true,100,27,0,5
2026-02-01T09:17:30.582Z,true,95,15,0,5
2026-02-01T09:17:38.598Z,true,90,15,0,5
2026-02-01T09:17:46.611Z,true,100,18,0,5
2026-02-01T09:17:51.120Z,true,100,16,0,5
2026-02-01T09:17:54.675Z,true,100,14,0,5
2026-02-01T09:18:02.612Z,true,100,20,0,5
2026-02-01T09:18:10.574Z,true,95,15,0,5
2026-02-01T09:18:18.611Z,true,95,17,0,5
2026-02-01T09:18:26.624Z,true,100,15,0,5
2026-02-01T09:18:34.581Z,true,100,28,0,5
2026-02-01T09:18:42.642Z,true,100,27,0,5
2026-02-01T09:18:50.619Z,true,100,14,0,5
2026-02-01T09:18:51.136Z,true,100,14,0,5
2026-02-01T09:18:58.642Z,true,100,25,0,5
2026-02-01T09:19:06.632Z,true,100,32,0,5
2026-02-01T09:19:14.628Z,true,100,25,0,5
2026-02-01T09:19:22.601Z,true,85,28,0,5
2026-02-01T09:19:30.607Z,true,85,17,0,5
2026-02-01T09:19:38.601Z,true,100,27,0,5
2026-02-01T09:19:46.602Z,true,100,26,0,5
2026-02-01T09:19:51.128Z,true,100,15,0,5
2026-02-01T09:19:54.600Z,true,80,15,0,5
2026-02-01T09:20:02.638Z,true,100,28,0,5
2026-02-01T09:20:10.613Z,true,100,29,0,5
2026-02-01T09:20:18.659Z,true,100,26,0,5
2026-02-01T09:20:26.596Z,true,95,26,0,5
2026-02-01T09:20:34.619Z,true,100,28,0,5
2026-02-01T09:20:42.603Z,true,95,16,0,5
2026-02-01T09:20:50.619Z,true,90,14,0,5
2026-02-01T09:20:51.148Z,true,90,15,0,5
2026-02-01T09:20:58.622Z,true,100,14,0,5
2026-02-01T09:21:06.637Z,true,100,27,0,5
2026-02-01T09:21:14.612Z,true,100,28,0,5
2026-02-01T09:21:22.625Z,true,100,33,0,5
2026-02-01T09:21:30.600Z,true,90,14,0,5
2026-02-01T09:21:38.653Z,true,100,26,0,5
2026-02-01T09:21:46.618Z,true,100,26,0,5
2026-02-01T09:21:51.651Z,true,100,27,0,5
2026-02-01T09:21:54.567Z,true,100,14,0,5
2026-02-01T09:22:02.597Z,true,90,25,0,5
2026-02-01T09:22:10.622Z,true,100,29,0,5
2026-02-01T09:22:18.601Z,true,100,27,0,5
2026-02-01T09:22:26.616Z,true,100,30,0,5
2026-02-01T09:22:34.605Z,true,100,30,0,5
2026-02-01T09:22:42.613Z,true,100,27,0,5
2026-02-01T09:22:50.639Z,true,100,40,0,5
2026-02-01T09:22:51.130Z,true,100,14,0,5
2026-02-01T09:22:58.607Z,true,100,27,0,5
2026-02-01T09:23:06.607Z,true,100,28,0,5
2026-02-01T09:23:14.641Z,true,100,27,0,5
2026-02-01T09:23:22.612Z,true,100,31,0,5
2026-02-01T09:23:30.604Z,true,100,22,0,5
2026-02-01T09:23:38.608Z,true,100,30,0,5
2026-02-01T09:23:46.600Z,true,100,28,0,5
2026-02-01T09:23:51.161Z,true,100,29,0,5
2026-02-01T09:23:54.608Z,true,100,15,0,5
2026-02-01T09:24:02.609Z,true,100,28,0,5
2026-02-01T09:24:10.627Z,true,100,28,0,5
2026-02-01T09:24:18.615Z,true,100,27,0,5
2026-02-01T09:24:26.600Z,true,85,27,0,5
2026-02-01T09:24:34.633Z,true,85,31,0,5
2026-02-01T09:24:42.578Z,true,85,15,0,5
2026-02-01T09:24:50.644Z,true,90,26,0,5
2026-02-01T09:24:51.133Z,true,90,16,0,5
2026-02-01T09:24:58.608Z,true,90,17,0,5
